train_id,route,distance_miles,weather_condition,cargo_weight_tons,scheduled_duration_hours,actual_duration_hours,crew_experience_years,locomotive_age_years,maintenance_score,delayed
TRAIN-0000,Texas-Portland,1271,Rain,1559,91,88.82389213628568,24.0,2,75.724280300374,0
TRAIN-0001,Denver-LA,1753,Clear,4515,32,38.13261745022863,3.0,18,,1
TRAIN-0002,Texas-Portland,501,Snow,2319,32,25.82520633698379,1.0,8,80.93245952266642,0
TRAIN-0003,Texas-Portland,690,Fog,3330,38,49.22031858441294,20.0,14,83.49571311689245,1
TRAIN-0004,Chicago-Seattle,768,Clear,2390,86,89.16202445320981,8.0,23,76.96441074339648,1
TRAIN-0005,Texas-Portland,1655,Fog,5242,87,90.01280235988786,,4,61.46531663104558,1
TRAIN-0006,Texas-Portland,1024,Clear,2599,70,74.15237381270681,21.0,28,67.91344056729136,1
TRAIN-0007,Denver-LA,1137,Clear,2341,90,94.10636107671903,,23,88.50015413855414,1
TRAIN-0008,Texas-Portland,1884,Clear,4962,49,51.77354908996597,14.0,22,97.65991101318022,1
TRAIN-0009,Denver-LA,1895,Fog,6322,24,35.05285353873157,14.0,27,86.20040146293985,1
TRAIN-0010,Texas-Portland,643,Fog,3483,93,98.15718267597516,21.0,11,84.6891370934089,1
TRAIN-0011,Denver-LA,836,Snow,6832,56,66.27423006421141,14.0,29,78.5840401781754,1
TRAIN-0012,Chicago-Seattle,1570,Clear,3229,64,62.55777185877435,20.0,2,74.04509033369908,0
TRAIN-0013,Denver-LA,1167,Clear,1925,51,43.309018414285354,13.0,10,64.82969309827995,0
TRAIN-0014,Texas-Portland,1122,Rain,7038,76,90.31729367526557,6.0,27,70.17695744509476,1
TRAIN-0015,Denver-LA,1993,Clear,7265,75,86.96315115994616,22.0,1,77.4543456548476,1
TRAIN-0016,Chicago-Seattle,973,Clear,1886,35,29.752164312938195,8.0,23,88.43862492418128,0
TRAIN-0017,Texas-Portland,1585,Rain,6542,24,34.65894634738039,10.0,18,68.78058438414556,1
TRAIN-0018,Chicago-Seattle,1069,Snow,5778,46,53.78797681685169,15.0,18,88.51718510647576,1
TRAIN-0019,Denver-LA,1430,Rain,7001,40,54.889008115421056,13.0,26,79.71417880561204,1
TRAIN-0020,Texas-Portland,1508,Fog,6562,46,57.19328836845381,9.0,28,,1
TRAIN-0021,Denver-LA,1803,Snow,2668,63,70.18472375182944,6.0,6,,1
TRAIN-0022,Chicago-Seattle,1825,Clear,6965,56,61.27059835977321,24.0,21,69.02695846903525,1
TRAIN-0023,Chicago-Seattle,1607,Rain,2138,76,80.56805067889849,23.0,18,95.12752857247753,1
TRAIN-0024,Chicago-Seattle,1695,Snow,5726,74,83.23864176749991,15.0,1,68.98124356577695,1
TRAIN-0025,Chicago-Seattle,691,Clear,2479,81,78.8761692015093,17.0,11,96.2644797942149,0
TRAIN-0026,Denver-LA,1922,Snow,2760,75,75.78260303800442,23.0,25,83.42381111313551,0
TRAIN-0027,Texas-Portland,1811,Clear,7560,60,67.20604099201675,1.0,19,63.891015613385456,1
